LAT	IT	DE	FR	ES	PT	EN
Anthus trivialis	Prispolone	Baumpieper	Pipit des arbres	Bisbita Arbóreo	Petinha-das-árvores	Tree Pipit
Anthus pratensis/trivialis			Pipit farlouse ou P. des arbres			Meadow/Tree Pipit
Anthus hodgsoni	Prispolone indiano	Waldpieper	Pipit à dos olive	Bisbita de Hodgson	Petinha-silvestre	Olive-backed Pipit
Anthus trivialis/hodgsoni			Pipit des arbres ou P. à dos olive			Tree/Olive-backed Pipit
Anthus gustavi	Pispola della Pechora	Petschorapieper	Pipit de la Petchora	Bisbita del Pechora	Petinha de Petchora	Pechora Pipit
Anthus gustavi gustavi/stejnegeri	Pispola della Pechora	Petschorapieper	Pipit de la Petchora	Bisbita del Pechora	Petinha de Petchora	Pechora Pipit (Pechora)
Anthus cervinus	Pispola golarossa	Rotkehlpieper	Pipit à gorge rousse	Bisbita Gorgirrojo	Petinha-de-garganta-ruiva	Red-throated Pipit
Anthus spinoletta	Spioncello	Bergpieper	Pipit spioncelle	Bisbita Alpino	Petinha-ribeirinha	Water Pipit
Anthus spinoletta spinoletta	Spioncello marino	Wasserpieper-spinoletta	Pipit spioncelle (nominal)	Bisbita Alpino	Petinha-ribeirinha	Water Pipit (Western)
Anthus spinoletta coutellii		Wasserpieper coutellii	Pipit du Caucase			Water Pipit (Caucasian)
Anthus pratensis/spinoletta			Pipit farlouse ou P. spioncelle			Meadow/Water Pipit
Anthus petrosus	Spioncello marino	Strandpieper	Pipit maritime	Bisbita Costero	Petinha-marítima	Rock Pipit
Anthus petrosus petrosus/kleinschmidti			Pipit maritime [petrosus ou kleinschmidti]			Rock Pipit (Western)
Anthus petrosus littoralis		Wasserpieper-littoralis	Pipit baltique			Rock Pipit (Eastern)
Anthus spinoletta/petrosus			Pipit maritime ou P. spioncelle			Water/Rock Pipit
Anthus rubescens	Spioncello del Pacifico	Pazifikpieper	Pipit d'Amérique	Bisbita Norteamericano	Petinha-fulva	American Pipit
Anthus rubescens japonicus		Wasserpieper-japonicus	Pipit d'Amérique (Sibérie)			American Pipit (japonicus)
Anthus rubescens [rubescens Group]			Pipit d'Amérique [rubescens, pacificus, geophilus ou alticola]			American Pipit (rubescens Group)
Anthus spinoletta/rubescens	Spioncello marino	Wasserpieper	Pipit spioncelle	Bisbita Alpina	Petinha-ribeirinha	Water/American Pipit
Anthus sp.			Anthus sp.			pipit sp.
Fringilla coelebs	Fringuello	Buchfink	Pinson des arbres	Pinzón Vulgar	Tentilhão-comum	Common Chaffinch
Fringilla coelebs [coelebs Group]	Fringuello europeo	Europäische Buchfink	Pinson des arbres [coelebs]			Common Chaffinch (Common)
Fringilla coelebs moreletti/maderensis		Buchfink-moreletti	Pinson des arbres [moreletti ou maderensis]		Tentilhão-comum	Common Chaffinch (Azores/Madeira)
Fringilla coelebs canariensis/ombriosa			Pinson des Canaries			Common Chaffinch (Canary Is.)
Fringilla coelebs palmae	Fringuello dell'Isola Las Palmas	Buchfink-palmae	Pinson des arbres (La Palma)			Common Chaffinch (La Palma)
Fringilla coelebs africana		Finkenlerche-africana	Pinson des arbres [africana ou harterti]			Common Chaffinch (African)
Fringilla coelebs spodiogenys	Fringuello della Tanzania	Tansania Finkenlerche	Pinson des arbres (de Tunisie)			Common Chaffinch (Tunisian)
Fringilla teydea	Fringuello blu delle Canarie	Teydefink	Pinson bleu	Pinzón Azul	tentilhão-azul	Tenerife Blue Chaffinch
Fringilla polatzeki		Teydefink-polatzeki	Pinson de Grande Canarie	Pinzón azul de Gran Canaria		Gran Canaria Blue Chaffinch
Fringilla montifringilla	Peppola	Bergfink	Pinson du Nord	Pinzón Real	Tentilhão-montês	Brambling
Fringilla coelebs/montifringilla			Pinson des arbres ou P. du Nord			Common Chaffinch/Brambling
Coccothraustes vespertinus	Frosone vespertino	Abendkernbeisser	Gros-bec errant	Picogordo Vespertino	Bico-grossudo-americano	Evening Grosbeak
Coccothraustes coccothraustes	Frosone	Kernbeißer	Gros-bec casse-noyaux	Picogordo Común	Bico-grossudo	Hawfinch
Carpodacus erythrinus	Ciuffolotto scarlatto	Karmingimpel	Roselin cramoisi	Camachuelo Carminoso	Pintarroxo-carmíneo	Common Rosefinch
Carpodacus rubicilla	Ciuffolotto scarlatto del Caucaso	Berggimpel	Roselin tacheté	Camachuelo Grande	peito-carmim-grande	Great Rosefinch
Carpodacus rubicilla rubicilla	Ciuffolotto scarlatto del Caucaso	Berg-Gimpel	Roselin tacheté	Camachuelo Grande	Peito-carmim-grande	Great Rosefinch (Great)
Carpodacus rubicilla [severtzovi Group]		Berg-Gimpel	Roselin de Severtsov			Great Rosefinch (Spotted)
Carpodacus roseus	Ciuffolotto scarlatto di Pallas	Rosengimpel	Roselin rose	Camachuelo de Pallas	Pintarrôxo-róseo	Pallas's Rosefinch
Pinicola enucleator	Ciuffolotto delle pinete	Hakengimpel	Durbec des sapins	Camachuelo Picogrueso	Pintarroxo-de-bico-grosso	Pine Grosbeak
Pinicola enucleator [enucleator Group]			Durbec des sapins [nominal]			Pine Grosbeak (Eurasian)
Pyrrhula murina	Ciuffolotto delle Azzorre	Azorengimpel	Bouvreuil des Açores	Camachuelo de las Azores	Priolo	Azores Bullfinch
Pyrrhula pyrrhula	Ciuffolotto	Gimpel	Bouvreuil pivoine	Camachuelo Común	Dom-fafe	Eurasian Bullfinch
Pyrrhula pyrrhula [pyrrhula Group]		Gimpel-pyrrhula	Bouvreuil pivoine [pyrrhula]			Eurasian Bullfinch (Eurasian)
Pyrrhula pyrrhula [griseiventris Group]	Ciuffolotto giapponese	Japanischer Gimpel	Bouvreuil pivoine [griseiventris]			Eurasian Bullfinch (Baikal)
Rhodopechys sanguineus sanguineus	Fringuello alicremisi asiatico	Rotflügelgimpel	Roselin à ailes roses	Camachuelo Alirrojo	Asa-carmim	Crimson-winged Finch (Eurasian)
Bucanetes githagineus	Trombettiere	Wüstengimpel	Roselin githagine	Camachuelo Trompetero	Pintarroxo-trombeteiro	Trumpeter Finch
Bucanetes mongolicus	Trombettiere mongolo	Mongolengimpel	Roselin de Mongolie	Camachuelo Mongol	Trombeteiro da Mongólia	Mongolian Finch
Leucosticte tephrocotis	Fringuello roseo capogrigio	Schwarzstirn-Schneegimpel	Roselin à tête grise	Pinzón Montano Nuquigrís	Pinzão-montês-de-coroa-cinzenta	Gray-crowned Rosy-Finch
Leucosticte tephrocotis griseonucha		Rosenbauch-Schneegimpel	Roselin à tête grise [griseonucha]			Gray-crowned Rosy-Finch (Aleutian and Kodiak Is.)
Chloris chloris	Verdone	Grünfink	Verdier d'Europe	Verderón Común	Verdilhão-comum	European Greenfinch
Linaria flavirostris	Fanello nordico	Berghänfling	Linotte à bec jaune	Pardillo Piquigualdo	Pintarroxo-de-bico-amarelo	Twite
Linaria cannabina	Fanello	Bluthänfling	Linotte mélodieuse	Pardillo Común	Pintarroxo-comum	Eurasian Linnet
Linaria flavirostris/cannabina			Linotte à bec jaune ou L. mélodieuse			Twite/Eurasian Linnet
Acanthis flammea	Organetto	Taigabirkenzeisig	Sizerin flammé	Pardillo Norteño	Pintarroxo-de-queixo-preto	Common Redpoll
Acanthis flammea flammea		Birkenzeisig-flammea	Sizerin flammé (flammea)			Common Redpoll (flammea)
Acanthis flammea rostrata/islandica		Birkenzeisig-rostrata	Sizerin du Groënland			Common Redpoll (rostrata/islandica)
Acanthis cabaret	Organetto minore	Alpenbirkenzeisig	Sizerin cabaret	Pardillo Alpino	pintarroxo-pequeno	Lesser Redpoll
Acanthis flammea/cabaret	Organetto	Birkenzeisig	Sizerin flammé	Pardillo Norteño	Pintarroxo-de-queixo-preto	Common/Lesser Redpoll
Acanthis hornemanni	Organetto artico	Polarbirkenzeisig	Sizerin blanchâtre	Pardillo Ártico	Pintarroxo de Hornemann	Hoary Redpoll
Acanthis hornemanni exilipes		Polarzeisig-exilipes	Sizerin blanchâtre (exilipes)			Hoary Redpoll (exilipes)
Acanthis hornemanni hornemanni		Polarzeisig-hornemanni	Sizerin blanchâtre (hornemanni)			Hoary Redpoll (hornemanni)
Acanthis flammea/hornemanni			Sizerin flammé ou S. blanchâtre			Common/Hoary Redpoll
Acanthis sp.			Sizerin sp.			redpoll sp.
Loxia pytyopsittacus	Crociere delle pinete	Kiefernkreuzschnabel	Bec-croisé perroquet	Piquituerto Lorito	Cruza-bico-papagaio	Parrot Crossbill
Loxia curvirostra	Crociere comune	Fichtenkreuzschnabel	Bec-croisé des sapins	Piquitureto Común	Cruza-bico-comum	Red Crossbill
Loxia curvirostra corsicana		Fichtenkreuzschnabel-corsicana	Bec-croisé des sapins (Corse)			Red Crossbill (Corsican)
Loxia curvirostra balearica		Fichtenkreuzschnabel-balearica	Bec-croisé des sapins (Baléares)			Red Crossbill (Balearic)
Loxia curvirostra poliogyna		Fichtenkreuzschnabel-poliogyna	Bec-croisé des sapins (poliogyna)			Red Crossbill (North African)
Loxia curvirostra mariae		Fichtenkreuzschnabel-mariae	Bec-croisé des sapins (mariae)			Red Crossbill (Crimean)
Loxia curvirostra (type A)			Bec-croisé des sapins (type A)			Red Crossbill (Wandering or type A)
Loxia curvirostra (type B)			Bec-croisé des sapins (type B)			Red Crossbill (Bohemian or type B)
Loxia curvirostra (type C)			Bec-croisé des sapins (type C)			Red Crossbill (Glip or type C)
Loxia curvirostra (type D)			Bec-croisé des sapins (type D)			Red Crossbill (Phantom or type D)
Loxia curvirostra (type E)			Bec-croisé des sapins (type E)			Red Crossbill (Parakeet or type E)
Loxia curvirostra (type F)			Bec-croisé des sapins (type F)			Red Crossbill (Scarce or type F)
Loxia curvirostra (type X)			Bec-croisé des sapins (type X)			Red Crossbill (Parakeet or type X)
Loxia pytyopsittacus/curvirostra			Bec-croisé perroquet ou B.-c. des sapins			Parrot/Red Crossbill
Loxia curvirostra/sinesciuris	Crociere	Fichtenkreuzschnabel	Bec-croisé des sapins	Piquituerto Común	Cruza-bico	Red/Cassia Crossbill
Loxia leucoptera	Crociere fasciato	Bindenkreuzschnabel	Bec-croisé bifascié	Piquituerto Aliblanco	Cruza-bico-franjado	White-winged Crossbill
Loxia leucoptera bifasciata		Bindenkreuzschnabel-bifasciata	Bec-croisé bifascié (Eurasie)			White-winged Crossbill (bifasciata)
Loxia leucoptera leucoptera			Bec-croisé bifascié (néarctique)			White-winged Crossbill (leucoptera)
Loxia sp.			Loxia sp.			crossbill sp.
Carduelis carduelis	Cardellino	Stieglitz	Chardonneret élégant	Jilguero Europeo	Pintassilgo	European Goldfinch
Carduelis carduelis [carduelis Group]	Cardellino eurasiatico	Stieglitz	Chardonneret élégant	Jilguero Europeo	Pintassilgo	European Goldfinch (European)
Carduelis carduelis [caniceps Group]	Cardellino eurasiatico	Stieglitz-caniceps	Chardonneret de l'Himalaya	Jilguero Asiático	Pintassilgo	European Goldfinch (Eastern)
Carduelis citrinella	Venturone alpino	Zitronenzeisig	Venturon montagnard	Verderón Serrano	Verdilhão-serrano	Citril Finch
Carduelis corsicana	Venturone corso	Korsenzeisig	Venturon corse	Verderón Corso	Verdilhão-corso	Corsican Finch
Serinus serinus	Verzellino	Girlitz	Serin cini	Serín Verdecillo	Chamariz-comum	European Serin
Carduelis citrinella/Serinus serinus			Serin cini ou V. montagnard			Citril Finch/European Serin
Serinus canaria	Canarino selvatico	Kanarengirlitz	Serin des Canaries	Serín Canario	Canário	Island Canary
Serinus pusillus	Verzellino fronterossa	Rotstirngirlitz	Serin à front d'or	Serín Frentirrojo	Milheirinha-de-testa-vermelha	Fire-fronted Serin
Spinus spinus	Lucherino	Erlenzeisig	Tarin des aulnes	Jilguero Lúgano	Lugre	Eurasian Siskin
Spinus sp.			Spinus sp.			Spinus sp.
Acanthis/Spinus sp.			Acanthis sp. ou Spinus sp.			Acanthis/Spinus sp.
Fringillidae sp.			Fringillidae sp.			finch sp.
Calcarius lapponicus	Zigolo della Lapponia	Spornammer	Plectrophane lapon	Escribano Lapón	Escrevedeira da Lapónia	Lapland Longspur
Calcarius/Rhynchophanes sp.			Calcarius ou Rhynchophanes sp.			longspur sp.
Plectrophenax nivalis	Zigolo delle nevi	Schneeammer	Plectrophane des neiges	Escribano Nival	Escrevedeira-das-neves	Snow Bunting
Plectrophenax nivalis/hyperboreus	Zigolo delle nevi	Schneeammer	Plectrophane des neiges	Escribano Nival	Escrevedeira-das-neves	Snow/McKay's Bunting
Emberiza melanocephala	Zigolo capinero	Kappenammer	Bruant mélanocéphale	Escribano Cabecinegro	Escrevedeira-de-cabeça-preta	Black-headed Bunting
Emberiza bruniceps	Zigolo testaranciata	Braunkopfammer	Bruant à tête rousse	Escribano Carirrojo	Escrevedeira-de-cabeça-ruiva	Red-headed Bunting
Emberiza melanocephala/bruniceps	Zigolo testanera	Kappenammer	Bruant mélanocéphale	Escribano de Cabeza Negra	Escrevedeira-de-cabeça-preta	Black-headed/Red-headed Bunting
Emberiza calandra	Strillozzo	Grauammer	Bruant proyer	Escribano Triguero	Trigueirão	Corn Bunting
Emberiza fucata	Zigolo orecchie castane	Bandammer	Bruant à oreillons	Escribano Orejudo	Escrevedeira-de-faces-castanhas	Chestnut-eared Bunting
Emberiza cia	Zigolo muciatto	Zippammer	Bruant fou	Escribano Montesino	Cia	Rock Bunting
Emberiza cirlus	Zigolo nero	Zaunammer	Bruant zizi	Escribano Soteño	Escrevedeira-de-garganta-preta	Cirl Bunting
Emberiza citrinella	Zigolo giallo	Goldammer	Bruant jaune	Escribano Cerillo	Escrevedeira-amarela	Yellowhammer
Emberiza leucocephalos	Zigolo golarossa	Fichtenammer	Bruant à calotte blanche	Escribano Cabeciblanco	Escrevedeira de Gmelin	Pine Bunting
Emberiza citrinella x leucocephalos			Hybride Bruant jaune x B. à calotte blanche			Yellowhammer x Pine Bunting (hybrid)
Emberiza buchanani	Zigolo collogrigio	Steinortolan	Bruant à cou gris	Escribano Cabecigrís	Sombria-de-pescoço-cinzento	Gray-necked Bunting
Emberiza cineracea	Zigolo cenerino	Türkenammer	Bruant cendré	Escribano Cinéreo	Escrevedeira-cinzenta	Cinereous Bunting
Emberiza cineracea cineracea		Türkenammer-cineracea	Bruant cendré (nominal)			Cinereous Bunting (Gray-bellied)
Emberiza cineracea semenowi		Türkenammer-semenowi	Bruant cendré (Est)			Cinereous Bunting (Yellow-bellied)
Emberiza hortulana	Ortolano	Ortolan	Bruant ortolan	Escribano Hortelano	Sombria	Ortolan Bunting
Emberiza caesia	Ortolano grigio	Grauortolan	Bruant cendrillard	Escribano Ceniciento	Escrevedeira-cinzenta	Cretzschmar's Bunting
Emberiza sahari	Zigolo delle case	Hausammer	Bruant du Sahara	Escribano Sahariano	Escrevedeira-do-sara	House Bunting
Emberiza striolata	Zigolo striolato	Wüstenammer	Bruant striolé	Escribano Estriado	Escrevedeira-doméstica	Striolated Bunting
Emberiza pallasi	Migliarino di Pallas	Pallasammer	Bruant de Pallas	Escribano de Pallas	Escrevedeira de Pallas	Pallas's Bunting
Emberiza schoeniclus	Migliarino di palude	Rohrammer	Bruant des roseaux	Escribano Palustre	Escrevedeira-dos-caniços	Reed Bunting
Emberiza pallasi/schoeniclus	Migliarino di palude	Rohrammer	Bruant des roseaux	Escribano Palustre	Escrevedeira-dos-caniços	Pallas's/Reed Bunting
Emberiza aureola	Zigolo dal collare	Weidenammer	Bruant auréole	Escribano Aureolado	Escrevedeira-aureolada	Yellow-breasted Bunting
Emberiza pusilla	Zigolo minore	Zwergammer	Bruant nain	Escribano Pigmeo	Escrevedeira-pigmeia	Little Bunting
Emberiza rustica	Zigolo boschereccio	Waldammer	Bruant rustique	Escribano Rústico	Escrevedeira-rústica	Rustic Bunting
Emberiza spodocephala	Zigolo mascherato	Maskenammer	Bruant masqué	Escribano Enmascarado	Escrevedeira-mascarada	Black-faced Bunting
Emberiza spodocephala spodocephala/sordida		Maskenammer	Bruant masqué	Escribano carinegro		Black-faced Bunting (spodocephala/sordida)
Emberiza rutila	Zigolo rutilo	Rötelammer	Bruant roux	Escribano Herrumbroso	Escrevedeira-ferruginea	Chestnut Bunting
Emberiza chrysophrys	Zigolo dai sopraccigli gialli	Gelbbrauenammer	Bruant à sourcils jaunes	Escribano Cejigualdo	Escrevedeira-de-solbrolho-amarelo	Yellow-browed Bunting
Emberiza sp.			Emberiza sp.			Emberiza sp.
Spizelloides arborea	Passero arboricolo	Baumammer	Bruant hudsonien	Chingolo Arbóreo		American Tree Sparrow
Passerella iliaca	Passerella variabile	Fuchsammer	Bruant fauve	Sabanero Rascador	Tico-tico-raposino	Fox Sparrow
Passerella iliaca iliaca/zaboria	Passerella variabile	Fuchsammer	Bruant fauve	Chingolo Zorruno	tico-tico-raposino	Fox Sparrow (Red)
Junco hyemalis	Junco occhiscuri	Winterammer	Junco ardoisé	Junco Pizarroso	Junco	Dark-eyed Junco
Junco hyemalis hyemalis/carolinensis/cismontanus	Junco occhiscuri	Junko	Junco ardoisé	Junco Ojioscuro	Junco	Dark-eyed Junco (Slate-colored/cismontanus)
Junco hyemalis hyemalis/carolinensis	Junco occhiscuri	Junko	Junco ardoisé [hyemalis ou carolinensis]			Dark-eyed Junco (Slate-colored)
Zonotrichia leucophrys	Passero coronabianca	Dachsammer	Bruant à couronne blanche	Chingolo Coroniblanco	Escrevedeira-de-testa-branca	White-crowned Sparrow
Zonotrichia leucophrys leucophrys/oriantha			Bruant à couronne blanche [leucophrys ou oriantha]			White-crowned Sparrow (Dark-lored)
Zonotrichia leucophrys leucophrys			Bruant à couronne blanche (de l'Est)			White-crowned Sparrow (leucophrys)
Zonotrichia albicollis	Passero golabianca	Weißkehlammer	Bruant à gorge blanche	Chingolo Gorjiblanco	Escrevedeira-de-garganta-branca	White-throated Sparrow
Passerculus sandwichensis	Passero delle praterie	Grasammer	Bruant des prés	Chingolo Sabanero	Tico-tico-dos-prados	Savannah Sparrow
Passerculus sandwichensis [sandwichensis Group]			Bruant des prés			Savannah Sparrow (Savannah)
Melospiza melodia	Passero cantore	Singammer	Bruant chanteur	Chingolo Cantor	Tico-tico-musical	Song Sparrow
Melospiza melodia melodia/atlantica			Bruant chanteur [melodia, juddi, euphonia ou atlantica]			Song Sparrow (melodia/atlantica)
Melospiza melodia [rufina Group]			Bruant chanteur [rufina]			Song Sparrow (rufina Group)
Melospiza lincolnii	Passero di Lincoln	Lincolnammer	Bruant de Lincoln	Chingolo de Lincoln	Tico-tico-de-lincoln	Lincoln's Sparrow
Passerellidae sp. (sparrow sp.)			Bruant sp.			sparrow sp.
Xanthocephalus xanthocephalus	Ittero testagialla	Brillenstärling	Carouge à tête jaune	Tordo Cabeciamarillo	Graúna-de-cabeça-amarela	Yellow-headed Blackbird
Dolichonyx oryzivorus	Bobolink	Reisstärling	Goglu des prés	Tordo Charlatán	Triste-pia	Bobolink
Icterus galbula	Ittero di Baltimora	Baltimoretrupial	Oriole de Baltimore	Turpial de Baltimore	Corrupião-de-baltimore	Baltimore Oriole
Icterus bullockii/galbula	Oriolo di Baltimora	Baltimoretrupial	Oriole du Nord	Turpial de Boltimore	corrupião-de-Baltimore	Bullock's/Baltimore Oriole
Molothrus ater	Molotro testabruna	Braunkopf-Kuhstärling	Vacher à tête brune	Tordo Cabecipardo	Chopim-mulato	Brown-headed Cowbird
Quiscalus quiscula	Gracula comune	Purpurgrackel	Quiscale bronzé	Zanate Común	Rabo-de-quilha	Common Grackle
Quiscalus quiscula versicolor			Quiscale bronzé (bronzée)			Common Grackle (Bronzed)
Seiurus aurocapilla	Seiuro corona dorata	Pieperwaldsänger	Paruline couronnée	Reinita Hornera	Mariquita-de-coroa-ruiva (Mariquita-forneira)	Ovenbird
Parkesia motacilla	Seiuro della Luisiana	Stelzenwaldsänger	Paruline hochequeue	Reinita Charquera de Luisiana	Mariquita-dos-charcos-da-louisiana	Louisiana Waterthrush
Parkesia noveboracensis	Seiuro del nord	Drosselwaldsänger	Paruline des ruisseaux	Reinita Charquera Norteña	Mariquita-boreal	Northern Waterthrush
Vermivora chrysoptera	Parula alidorate	Goldflügel-Waldsänger	Paruline à ailes dorées	Reinita Alidorada	Mariquita-d'asa-amarela	Golden-winged Warbler
Vermivora cyanoptera	Parula aliazzurre	Blauflügel-Waldsänger	Paruline à ailes bleues	Reinita Aliazul	Mariquita-de-asas-azuis	Blue-winged Warbler
Vermivora chrysoptera x cyanoptera (F1 hybrid)			Paruline de Brewster (hybride)			Brewster's Warbler (hybrid)
Mniotilta varia	Parula bianca e nera	Kletterwaldsänger	Paruline noir et blanc	Reinita Trepadora	Riscadinha	Black-and-white Warbler
Protonotaria citrea	Parula protonotaria	Zitronenwaldsänger	Paruline orangée	Reinita Protonotaria	Mariquita-protonotária	Prothonotary Warbler
Leiothlypis peregrina	Parula del Tennessee	Brauenwaldsänger	Paruline obscure	Reinita de Tennessee	Mariquita do Tenesse	Tennessee Warbler
Oporornis agilis	Parula del Connecticut	Augenring-Waldsänger	Paruline à gorge grise	Reinita de Connecticut	Pia-cobra-de-oculos	Connecticut Warbler
Geothlypis trichas	Parula golagialla	Weidengelbkehlchen	Paruline masquée	Mascarita Común	Mariquita-de-mascarilha	Common Yellowthroat
